id,fixtime,latitude,longitude,altitude,speed,course,accuracy
"581153",2020/09/28 19:50:55,54.9062383,11.8688583,26,26.99785,170,0
"581154",2020/09/28 19:50:56,54.9061116,11.8688933,26,27.537807,170,0
"581155",2020/09/28 19:50:57,54.9059833,11.8689299,26,28.077764,170,0
"581156",2020/09/28 19:50:58,54.9058533,11.8689666,26,28.617721,171,0
"581157",2020/09/28 19:50:59,54.90572,11.8690016,25,29.157678,171,0
"581158",2020/09/28 19:51:00,54.9055833,11.8690383,25,30.237592,171,0
"581159",2020/09/28 19:51:01,54.9054416,11.8690783,25,29.697635,171,0
"581160",2020/09/28 19:51:02,54.9052966,11.8691183,25,31.317506,170,0
"581161",2020/09/28 19:51:03,54.9051483,11.8691616,25,31.857463,170,0
"581162",2020/09/28 19:51:04,54.905,11.869205,25,31.857463,170,0
"581163",2020/09/28 19:51:05,54.9048516,11.8692466,25,32.39742,170,0
"581164",2020/09/28 19:51:06,54.9047,11.86929,25,32.39742,170,0
"581165",2020/09/28 19:51:07,54.90455,11.8693316,26,32.39742,170,0
"581166",2020/09/28 19:51:08,54.9044016,11.8693766,26,31.857463,170,0
"581167",2020/09/28 19:51:09,54.904255,11.8694183,26,31.857463,170,0
"581168",2020/09/28 19:51:10,54.90411,11.8694566,27,30.777549,171,0
"581169",2020/09/28 19:51:11,54.9039683,11.8694916,27,29.697635,171,0
"581170",2020/09/28 19:51:12,54.9038333,11.8695233,27,28.617721,171,0
"581171",2020/09/28 19:51:13,54.903705,11.8695566,27,26.99785,171,0
"581172",2020/09/28 19:51:14,54.90358,11.8695866,28,26.457893,171,0
"581173",2020/09/28 19:51:15,54.9034599,11.8696166,28,25.377979,171,0
"581174",2020/09/28 19:51:16,54.9033416,11.8696483,28,25.917936,171,0
"581175",2020/09/28 19:51:17,54.9032216,11.8696816,28,25.917936,170,0
"581176",2020/09/28 19:51:18,54.9031016,11.869715,28,25.917936,171,0
"581177",2020/09/28 19:51:19,54.9029816,11.8697466,28,25.917936,171,0
"581178",2020/09/28 19:51:20,54.9028633,11.8697783,27,25.377979,171,0
"581179",2020/09/28 19:51:21,54.9027483,11.8698083,27,24.838022,170,0
"581180",2020/09/28 19:51:22,54.9026349,11.8698399,27,24.298065,170,0
"581181",2020/09/28 19:51:23,54.9025266,11.8698716,27,23.218151,170,0
"581182",2020/09/28 19:51:24,54.9024233,11.8698999,27,22.138237,170,0
"581183",2020/09/28 19:51:25,54.9023266,11.86993,26,20.518366,170,0
"581184",2020/09/28 19:51:26,54.902235,11.8699533,26,18.898495,172,0
"581185",2020/09/28 19:51:27,54.9021499,11.8699633,25,17.818581,178,0
"581186",2020/09/28 19:51:28,54.9020683,11.8699516,25,18.358538,190,0
"581187",2020/09/28 19:51:29,54.9019866,11.8699183,25,18.358538,196,0
"581188",2020/09/28 19:51:30,54.9019083,11.8698716,24,18.358538,200,0
"581189",2020/09/28 19:51:31,54.90183,11.8698183,24,18.358538,201,0
"581190",2020/09/28 19:51:32,54.9017583,11.8697583,23,16.738667,203,0
"581191",2020/09/28 19:51:33,54.9016933,11.8697066,23,14.578839,202,0
"581192",2020/09/28 19:51:34,54.9016383,11.8696566,22,12.419011,205,0
"581193",2020/09/28 19:51:35,54.9015966,11.8696183,22,8.639312,205,0
"581194",2020/09/28 19:51:36,54.9015699,11.869595,22,5.39957,206,0
"581195",2020/09/28 19:51:37,54.9015566,11.8695833,22,2.159828,206,0
"581196",2020/09/28 19:51:38,54.9015483,11.8695766,22,0,206,0
"581197",2020/09/28 19:51:39,54.9015416,11.8695783,22,0,206,0
"581198",2020/09/28 19:51:40,54.9015216,11.869595,22,6.479484,157,0
"581199",2020/09/28 19:51:41,54.901495,11.8696366,22,9.179269,127,0
"581200",2020/09/28 19:51:42,54.9014733,11.8697183,21,11.339097,108,0
"581201",2020/09/28 19:51:43,54.9014583,11.8698249,21,14.038882,102,0
"581203",2020/09/28 19:51:44,54.901445,11.8699433,21,14.578839,100,0
"581204",2020/09/28 19:51:45,54.90143,11.8700699,21,15.658753,102,0
"581205",2020/09/28 19:51:46,54.9014166,11.87021,21,18.358538,101,0
"581206",2020/09/28 19:51:47,54.9014066,11.8703633,21,19.438452,97,0
"581207",2020/09/28 19:51:48,54.9014,11.8705383,21,21.058323,93,0
"581208",2020/09/28 19:51:49,54.9013983,11.8707199,21,21.59828,90,0
"581209",2020/09/28 19:51:50,54.9014016,11.8708966,21,19.978409,88,0
"581210",2020/09/28 19:51:51,54.9014,11.87107,20,19.978409,92,0
"581211",2020/09/28 19:51:52,54.9013933,11.8712483,20,21.058323,94,0
"581212",2020/09/28 19:51:53,54.9013833,11.87144,20,22.678194,95,0
"581213",2020/09/28 19:51:54,54.9013783,11.871615,21,19.978409,91,0
"581214",2020/09/28 19:51:55,54.901375,11.8717733,21,18.358538,88,0
"581215",2020/09/28 19:51:56,54.9013716,11.87192,21,16.19871,88,0
"581216",2020/09/28 19:51:57,54.901365,11.8720533,21,14.578839,95,0
"581217",2020/09/28 19:51:58,54.9013533,11.8721633,21,12.419011,105,0
"581218",2020/09/28 19:51:59,54.90135,11.8722316,22,5.939527,91,0
"581219",2020/09/28 19:52:00,54.9013483,11.8722699,22,1.619871,91,0
"581220",2020/09/28 19:52:01,54.901345,11.8722866,23,0,91,0
"581221",2020/09/28 19:52:02,54.9013516,11.8722883,23,0,91,0
"581222",2020/09/28 19:52:03,54.9013566,11.8722999,23,0,91,0
"581223",2020/09/28 19:52:04,54.9013566,11.8722999,23,0,91,0
"581224",2020/09/28 19:52:05,54.9013566,11.8722999,23,0,91,0
"581225",2020/09/28 19:52:06,54.9013566,11.8722999,23,0,91,0
"581226",2020/09/28 19:52:07,54.9013566,11.8722999,23,0,91,0
"581227",2020/09/28 19:52:08,54.9013566,11.8722999,23,0,91,0
"581228",2020/09/28 19:52:09,54.9013566,11.8722999,23,0,91,0
"581229",2020/09/28 19:52:10,54.9013566,11.8722999,23,0,91,0
"581230",2020/09/28 19:52:11,54.901375,11.8723933,23,7.559398,42,0
"581231",2020/09/28 19:52:12,54.90141,11.872435,23,10.259183,27,0
"581232",2020/09/28 19:52:13,54.9014599,11.872475,23,13.498925,21,0
"581233",2020/09/28 19:52:14,54.901525,11.8725033,23,15.658753,10,0
"581234",2020/09/28 19:52:15,54.901605,11.872525,23,18.358538,8,0
"581235",2020/09/28 19:52:16,54.9016983,11.87255,23,21.058323,9,0
"581236",2020/09/28 19:52:17,54.9018016,11.8725799,24,23.218151,11,0
"581237",2020/09/28 19:52:18,54.901915,11.8726266,24,25.377979,14,0
"581238",2020/09/28 19:52:19,54.9020333,11.872685,24,26.99785,16,0
"581239",2020/09/28 19:52:20,54.9021633,11.8727516,24,28.617721,18,0
"581240",2020/09/28 19:52:21,54.9022983,11.8728283,24,30.237592,18,0
"581241",2020/09/28 19:52:22,54.9024366,11.8729083,25,31.317506,19,0
"581242",2020/09/28 19:52:23,54.9025816,11.872995,25,32.937377,19,0
"581243",2020/09/28 19:52:24,54.9027316,11.873085,25,34.557248,18,0
"581244",2020/09/28 19:52:25,54.9028866,11.8731749,25,35.637162,18,0
"581245",2020/09/28 19:52:26,54.9030499,11.8732683,25,36.717076,17,0
"581246",2020/09/28 19:52:27,54.9032183,11.8733516,26,37.79699,15,0
"581247",2020/09/28 19:52:28,54.9033933,11.87343,26,38.876904,14,0
"581248",2020/09/28 19:52:29,54.9035733,11.8735083,26,39.956818,13,0
"581249",2020/09/28 19:52:30,54.9037566,11.873585,27,40.496775,13,0
"581250",2020/09/28 19:52:31,54.9039433,11.873665,27,41.576689,13,0
"581251",2020/09/28 19:52:32,54.9041349,11.8737433,27,42.116646,13,0
"581252",2020/09/28 19:52:33,54.9043283,11.8738266,28,43.19656,13,0
"581253",2020/09/28 19:52:34,54.904525,11.8739116,28,43.736517,13,0
"581254",2020/09/28 19:52:35,54.9047249,11.8739966,28,44.276474,13,0
"581255",2020/09/28 19:52:36,54.9049266,11.8740816,28,44.276474,13,0
"581256",2020/09/28 19:52:37,54.9051283,11.8741666,28,44.276474,13,0
"581257",2020/09/28 19:52:38,54.9053266,11.87425,28,43.736517,13,0
"581258",2020/09/28 19:52:39,54.9055233,11.87433,28,42.656603,13,0
"581259",2020/09/28 19:52:40,54.9057133,11.87441,28,41.036732,14,0
"581260",2020/09/28 19:52:41,54.9058966,11.874485,29,39.416861,13,0
"581261",2020/09/28 19:52:42,54.9060716,11.8745583,29,37.79699,13,0
"581262",2020/09/28 19:52:43,54.90624,11.8746266,30,36.717076,13,0
